Event Type,Title,Description,Event Date (UTC),Event Date (Local),Local Timezone,Modified Date (UTC),Location,Distance To Nearest,Nearest Airport,Latitude,Longitude,Woc ID,Database Radial,"Database Distance
Offset","Database Distance
Unit","Extracted Radial
Distance",Extracted Altitude
UFO‐UAP ACTIVITY,UAL1580 UFO‐UAP ACTIVITY 02‐03‐2023,"PRELIM INFO FROM FAA OPS: BILLINGS, MT/UFO‐UAP
ACTIVITY/2139M/SALT LAKE CITY ARTCC ADVISED UNITED 1580, B738, ORD ‐ VANCOVER, CANADA (CYVR), REPORTED ORBITING LIGHTS FROM ABOVE WHILE WNW BOUND AT FL380 60 E BIL. NO EVASIVE ACTION REPORTED. LAW ENFORCEMENT NOTIFICATION NOT REPORTED.  WOC 7‐3333 JG/TL",2/4/2023 4:39,2/3/2023 21:39,‐07 MST,2/4/2023 4:49,"BILLINGS,MT (BIL)",17.7891125,00U,45.801097,‐107.3014002,663573,90,60,mi,60 E,
UFO‐UAP ACTIVITY,DAL395 UFO‐UAP ACTIVITY 02‐05‐2023,"PRELIM INFO FROM FAA OPS: JACKSON, MS/UFO‐UAP ACTIVITY/0400C/MEMPHIS ARTCC ADVISED DELTA 395, B763, LAX ‐ ATL, REPORTED AN UNIDENTIFIED AERIAL PHENOMENON FROM THE 12 O'CLOCK POSITION WHILE E BOUND AT FL350 35 WNW JAN. NO EVASIVE ACTION TAKEN. THE UNKNOWN PHENOMENON WAS APPROXIMATELY 10 LIGHTS AT A HIGH ALTITUDE MOVING IN MULTIPLE DIRECTIONS, VISIBLE FOR 5‐10 SECONDS THEN FADED OUT. WOC 7‐3333 JG/RC",2/5/2023 10:00,2/5/2023 4:00,‐06 CST,2/5/2023 10:40,"JACKSON,MS (JAN)",12.165065,MS43,32.5043314,‐90.62966547,663719,292.5,35,mi,"35
WNW,10 SE",
UFO‐UAP ACTIVITY,UAL1164 UFO‐UAP ACTIVITY 02‐07‐2023,"PRELIM INFO FROM FAA OPS: WOLBACH, NE/UFO‐UAP ACTIVITY/0344C/MINNEAPOLIS ARTCC ADVISED UNITED 1164, B738, SFO ‐ TORONTO, CANADA (CYYZ), REPORTED UNIDENTIFIED AERIAL PHENOMENON MANEUVERING BETWEEN FL450‐FL600 VCNTY WOLBACH VORTAC (OBH). MULTIPLY ACFT REPORTED SEEING 2‐3 TARGETS WITH FLASHING LIGHTS IN THE GENERAL AREA. WOC 7‐3333 JO/HM",2/7/2023 9:44,2/7/2023 3:44,‐06 CST,2/7/2023 11:46,"WOLBACH,NE",13.5951438,NE46,41.3969577,‐98.3942356,664020,0,0,mi,,
UFO‐UAP ACTIVITY,N378BG UFO‐UAP ACTIVITY 02‐09‐2023,"PRELIM INFO FROM FAA OPS: CHANUTE, KS/UFO‐UAP ACTIVITY/2113C/KANSAS CITY ARTCC ADVISED N378BG, RAYTHEON B300, BBG ‐ FNL, REPORTED UNIDENTIFIED AERIAL PHENOMENON WITH WHITE AND RED FLASHING LIGHTS FROM THE 9 O'CLOCK POSITION WHILE NW BOUND AT FL280 15 S CNU. NO INJURIES REPORTED. NO LEO NOTIFICATION
REPORTED. WOC 7‐3333 MO/JF",2/10/2023 3:13,2/9/2023 21:13,‐06 CST,2/10/2023 3:37,"CHANUTE,KS (CNU)",1.30E‐07,CNU,37.6678889,‐95.48672222,664468,0,0,mi,15 S,
UFO‐UAP ACTIVITY,UPS1016 UFO‐UAP ACTIVITY 02‐10‐2023,"PRELIM INFO FROM FAA OPS: WILKES‐BARRE, PA/UFO‐ UAP ACTIVITY/0330E/NEW YORK ARTCC ADVISED UPS 1016, B763, SDF ‐ BOS, REPORTED AN UNIDENTIFIED AERIAL PHENOMENON WITH BRIGHT LIGHTS FROM THE 12 O'CLOCK POSITION WHILE NE BOUND AT FL370 18 W WBW. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC 7‐3333 MO/DJ",2/10/2023 8:30,2/10/2023 3:30,‐05 EST,2/10/2023 9:34,"WILKES‐BARRE,PA (WBW)",11.8949376,PA40,41.2967879,‐76.19810629,664498,270,18,mi,18 W,
UFO‐UAP ACTIVITY,UPS1052 UFO‐UAP ACTIVITY 02‐10‐2023,"PRELIM INFO FROM FAA OPS: WILKES‐BARRE, PA/UFO‐ UAP ACTIVITY/0345E/NEW YORK ARTCC ADVISED UPS 1052, B752, MHT ‐ BGR, REPORTED AN UNIDENTIFIED AERIAL PHENOMENON WITH BRIGHT LIGHTS FROM THE 12 O'CLOCK POSITION WHILE NE BOUND AT FL370 18 W WBW. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION REPORTED. WOC 7‐3333 MO/JF",2/10/2023 8:45,2/10/2023 3:45,‐05 EST,2/10/2023 9:41,"WILKES‐BARRE,PA (WBW)",11.8949376,PA40,41.2967879,‐76.19810629,664500,270,18,mi,18 W,
UFO‐UAP ACTIVITY,AAL403 UFO‐UAP ACTIVITY 02‐11‐2023,"PRELIM INFO FROM FAA OPS: IOWA CITY, IA/UFO‐UAP ACTIVITY/0302C/CHICAGO ARTCC ADVISED AMERICAN 403, A320, DEN ‐ PHL, REPORTED LIGHTS CIRCLING OFF LEFT SIDE AT SAME ALTITUDE OR HIGHER WHILE E BOUND AT FL350 VCNTY IOWA CITY. SIMILAR PHENOMENA WERE REPORTED LAST WEEK AND WERE DETERMINED TO BE A CHAIN OF SATELLITES. LEOS NOT
NOTIFIED. WOC 7‐3333 DJ/JG",2/11/2023 9:02,2/11/2023 3:02,‐06 CST,2/11/2023 9:24,"IOWA CITY,IA",1.42927799,IOW,41.6578257,‐91.5346169,664679,0,0,mi,,
UFO‐UAP ACTIVITY,NKS656 UFO‐UAP ACTIVITY 02‐11‐2023,"PRELIM INFO FROM FAA OPS: IOWA CITY, IA/UFO‐UAP ACTIVITY/0305C/CHICAGO ARTCC ADVISED SPIRIT 656, A20N, LAX ‐ PIT, REPORTED LIGHTS CIRCLING OFF LEFT SIDE AT SAME ALTITUDE OR HIGHER WHILE E BOUND AT FL370 VCNTY IOWA CITY. SIMILAR PHENOMENA WERE REPORTED LAST WEEK AND WERE DETERMINED TO BE A CHAIN OF SATELLITES. LEOS NOT NOTIFIED. WOC 7‐3333 JG/MO",2/11/2023 9:05,2/11/2023 3:05,‐06 CST,2/11/2023 9:31,"IOWA CITY,IA",1.42927799,IOW,41.6578257,‐91.5346169,664677,0,0,mi,,
UFO‐UAP ACTIVITY,DAL384 UFO‐UAP ACTIVITY 02‐11‐2023,"PRELIM INFO FROM FAA OPS: IOWA CITY, IA/UFO‐UAP ACTIVITY/0307C/CHICAGO ARTCC ADVISED DELTA 384, B738, SAN ‐ JFK, REPORTED LIGHTS CIRCLING OFF LEFT SIDE AT SAME ALTITUDE OR HIGHER WHILE E BOUND AT FL370 VCNTY IOWA CITY. SIMILAR PHENOMENA WERE REPORTED LAST WEEK AND WERE DETERMINED TO BE A CHAIN OF SATELLITES. LEOS NOT NOTIFIED. WOC 7‐3333 MO/JG",2/11/2023 9:07,2/11/2023 3:07,‐06 CST,2/11/2023 9:27,"IOWA CITY,IA",1.42927799,IOW,41.6578257,‐91.5346169,664678,0,0,mi,,
UFO‐UAP ACTIVITY,ROU1704 UFO‐UAP ACTIVITY 02‐11‐2023,"PRELIM INFO FROM FAA OPS: SIOUX FALLS, SD/UFO‐ UAP ACTIVITY/0330C/MINNEAPOLIS ARTCC ADVISED AIR CANADA ROUGE 1704, A321, LAS ‐ TORONTO, CANADA (CYYZ), REPORTED LIGHTS FROM THE 12 O'CLOCK POSITION AT SAME ALTITUDE OR HIGHER WHILE E BOUND BETWEEN FL350 AND FL370 25 S FSD.
LEOS NOT NOTIFIED. WOC 7‐3333 MO/JG",2/11/2023 9:30,2/11/2023 3:30,‐06 CST,2/11/2023 9:58,"SIOUX FALLS,SD (FSD)",10.5838567,7G9,43.2198806,‐96.741925,664684,180,25,mi,25 S,
UFO‐UAP ACTIVITY,UAL2059 UFO‐UAP ACTIVITY 02‐11‐2023,"PRELIM INFO FROM FAA OPS: SIOUX FALLS, SD/UFO‐ UAP ACTIVITY/0332C/MINNEAPOLIS ARTCC ADVISED UNITED 2059, B772, SFO ‐ EWR, REPORTED LIGHTS ""COMING AND GOING"" AT SAME ALTITUDE OR HIGHER WHILE E BOUND BETWEEN FL350 AND FL370 25 S SIOUX FALLS. LEOS NOT NOTIFIED. WOC 7‐3333 DJ/JG",2/11/2023 9:32,2/11/2023 3:32,‐06 CST,2/11/2023 9:47,"SIOUX FALLS,SD (FSD)",10.5838567,7G9,43.2198806,‐96.741925,664681,180,25,mi,25 S,
UFO‐UAP ACTIVITY,HAL90 UFO‐UAP ACTIVITY 02‐11‐2023,"PRELIM INFO FROM FAA OPS: SIOUX FALLS, SD/UFO‐ UAP ACTIVITY/0332C/MINNEAPOLIS ARTCC ADVISED HAWAIIAN 90, A332, HNL ‐ BOS, REPORTED LIGHTS ""COMING AND GOING"" AT SAME ALTITUDE OR HIGHER WHILE E BOUND BETWEEN FL350 AND FL370 25 S FSD. LEOS NOT NOTIFIED. WOC 7‐3333 JG/MO",2/11/2023 9:32,2/11/2023 3:32,‐06 CST,2/11/2023 9:52,"SIOUX FALLS,SD (FSD)",10.5838567,7G9,43.2198806,‐96.741925,664683,180,25,mi,25 S,
UFO‐UAP ACTIVITY,UAL1786 UFO‐UAP ACTIVITY 02‐11‐2023,"PRELIM INFO FROM FAA OPS: SIOUX FALLS, SD/UFO‐ UAP ACTIVITY/0335C/MINNEAPOLIS ARTCC ADVISED UNITED 1786, B39M, LAX ‐ CLE, REPORTED LIGHTS ""COMING AND GOING"" AT SAME ALTITUDE OR HIGHER WHILE E BOUND BETWEEN FL350 AND FL370 25 S SIOUX FALLS. LEOS NOT NOTIFIED. WOC 7‐3333 DJ/JG",2/11/2023 9:35,2/11/2023 3:35,‐06 CST,2/11/2023 9:51,"SIOUX FALLS,SD (FSD)",10.5838567,7G9,43.2198806,‐96.741925,664682,180,25,mi,25 S,
UFO‐UAP ACTIVITY,ICV93PK UFO‐UAP ACTIVITY 02‐12‐2023,"PRELIM INFO FROM FAA OPS: BURLINGTON, VT/UFO‐ UAP ACTIVITY/LATE REPOR‐0325E/BOSTON ARTCC ADVISED CARGOLUX ITALIA 93PK, B748, ORD ‐ LUXEMBOURG, LUXEMBOURG (ELLX), REPORTED A UAP WHILE E BOUND AT FL350 43 NW BTV. PILOT REPORTED A LIGHT ESTIMATED TO BE ABOVE FL600 FLYING IN AN ERRATIC PATTERN AT AN UNSPECIFIED DISTANCE AHEAD. 3 LIGHTS APPEARED TO CREATE A TRIANGLE AND COME TOGETHER AS ONE LIGHT, REPEATING THE PROCESS SEVERAL TIMES. A SECOND ACFT N BOUND REPORTED THE SAME OBSERVATION.
WOC 7‐3333 DJ/JG",2/12/2023 8:25,2/12/2023 3:25,‐05 EST,2/12/2023 10:47,"BURLINGTON,VT (BTV)",14.6531874,NY60,44.9106229,‐73.77292366,664827,315,43,mi,43 NW,600 F
UFO‐UAP ACTIVITY,"DOWAGIAC, MI UFO‐UAP ACTIVITY 02‐12‐ 2023","PRELIM INFO FROM FAA OPS: DOWAGIAC, MI/UFO‐ UAP ACTIVITY/1953E/C‐ROC ADVISED CASS COUNTY SHERIFF DEPARTMENT REPORTED A STRAIGHT LINE OF 10‐15 FLASHING LIGHTS PASSING NORTHBOUND OVER CASS COUNTY NEAR US 12 AND US 60 IN DOWAGIAC. NO ACFT REPORTED INCIDENT. SOUTH BEND TRACON
NOTIFIED. WOC 7‐3333 HM/JW",2/13/2023 0:53,2/12/2023 19:53,‐05 EST,2/13/2023 1:23,"DOWAGIAC,MI",1.17691599,C91,41.9842123,‐86.1086228,664934,0,0,mi,,15 F
UFO‐UAP ACTIVITY,PDT6044 UFO‐UAP ACTIVITY 02‐13‐2023,"PRELIM INFO FROM FAA OPS: CHESTER, MA/UFO‐UAP ACTIVITY/1820E/BOSTON ARTCC ADVISED HENSON 6044, E145, BOS ‐ MDT, PIC REPORTED A STRING OF LIGHTS MOVING AT A HIGH RATE OF SPEED. ACFT WAS AT FL260 OVER CHESTER. OTHER ACFT IN THE AREA REPORTED OBSERVING THE SAME UAP BUT CALL SIGNS WERE NOT OBTAINED. POSSIBLY CORRELATES TO STAR LINK SATELLITES OVER MASSACHUSETTS AT THIS TIME. WOC 7‐3333 HM/BS",2/13/2023 23:20,2/13/2023 18:20,‐05 EST,2/13/2023 23:49,"CHESTER,MA",3.41609627,3MA2,42.2864993,‐72.978712,665085,0,0.5,mi,,
UFO‐UAP ACTIVITY,AIP5042 UFO‐UAP ACTIVITY 02‐15‐2023,"PRELIM INFO FROM FAA OPS: BILLINGS, MT/UFO‐UAP ACTIVITY/0836M/BILLINGS ATCT ADVISED ALPINE 5042, BEECH BE99, BIL ‐ OLF, REPORTED A UNIDENTIFIED OBJECT IN THE MID FL200 ALTITUDES VCNTY BIL. ACFT REPORTED TWO SEPARATE LIGHTS CIRCLING THAT APPEAR FOR 5 SECONDS AND DISAPPEAR FOR 8 SECONDS. WOC 7‐3333 JG/JB",2/15/2023 15:36,2/15/2023 8:36,‐07 MST,2/15/2023 16:05,"BILLINGS,MT (BIL)",2.10E‐07,BIL,45.8078491,‐108.5435436,665363,0,0,mi,"5 SE,8 SE",
UFO‐UAP ACTIVITY,HSTLR91 UFO‐UAP ACTIVITY 02‐15‐2023,"PRELIM INFO FROM FAA OPS: EL PASO, TX/UFO‐UAP
ACTIVITY/LATE REPORT‐0950M/ALBUQUERQUE ARTCC ADVISED USMC HSTLR91, F35, REPORTED AN UNIDENTIFIED AERIAL PHENOMENON FROM THE 10 O'CLOCK POSITION WHILE WNW BOUND AT FL280 60 WNW ELP. NO EVASIVE ACTION REPORTED. NO LEO NOTIFICATION REPORTED. WOC 7‐3333 JB/JG",2/15/2023 16:57,2/15/2023 9:57,‐07 MST,2/15/2023 20:54,"EL PASO,TX (ELP)",16.273944,NM08,32.0288892,‐107.3637441,665403,285,60,mi,60 WNW,
UFO‐UAP ACTIVITY,USAF HAMMR31 UFO‐UAP ACTIVITY 02‐16‐ 2023,"PRELIM INFO FROM FAA OPS: BURLINGTON, VT/UFO‐ UAP ACTIVITY/0945E/BOSTON ARTCC ADVISED USAF HAMMR31, F35, BTV ‐ BTV, REPORTED AN UNIDENTIFIED AERIAL PHENOMENON WHILE E BOUND AT FL180 46 ESE BTV. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT REPORTED. WOC 7‐3333 JB/JG",2/16/2023 14:45,2/16/2023 9:45,‐05 EST,2/16/2023 16:22,"BURLINGTON,VT (BTV)",9.56684625,04VT,44.2626704,‐72.27154077,665566,108,46,mi,46 ESE,
UFO‐UAP ACTIVITY,N189LW UFO‐UAP ACTIVITY 02‐16‐2023,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UFO‐UAP ACTIVITY/1039E/E‐ROC ADVISED N189LW, PIAGGIO P180, ATL ‐ DTS, REPORTED A POSSIBLE PARACHUTE 2 E ATL. NO EVASIVE ACTION TAKEN. LOCAL LAW ENFORCEMENT NOTIFIED. WOC 7‐3333 MO/JG",2/16/2023 15:39,2/16/2023 10:39,‐05 EST,2/16/2023 16:49,"ATLANTA,GA (ATL)",2.00000322,ATL,33.6366947,‐84.39317091,665580,90,2,mi,2 E,
UFO‐UAP ACTIVITY,ASA688 UFO‐UAP ACTIVITY 02‐16‐2023,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UFO‐UAP ACTIVITY/1635P/SEATTLE ARTCC ADVISED ALASKA 688, B739, SEA ‐ LAS, REPORTED A DARK OBJECT DESCRIBED AS POSSIBLE UAS/BALLOON AT SAME ALTITUDE FROM THE 2 O'CLOCK POSITION WHILE SSE BOUND AT 10,700 FEET 18 SSE SEA. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC 7‐3333 JF/TB",2/17/2023 0:35,2/16/2023 16:35,‐08 PST,2/17/2023 1:31,"SEATTLE,WA (SEA)",2.37281971,9WA7,47.2049685,‐122.1810084,665683,160,18,mi,18 SSE,"10,700
FEET"
UFO‐UAP ACTIVITY,FFT2300 UFO‐UAP ACTIVITY 02‐18‐2023,"PRELIM INFO FROM FAA OPS: CHARLESTON, WV/UFO‐ UAP ACTIVITY/0400E/INDIANAPOLIS ARTCC ADVISED FRONTIER 2300, A321, DFW ‐ PHL, REPORTED AN UNIDENTIFIED AERIAL PHENOMENON FROM THE 12 O'CLOCK POSITION WHILE E BOUND AT FL350 85 SW CHARLESTON VOR. THE PHENOMENON WAS DESCRIBED AS WHITE BLINKING LIGHTS. WOC 7‐3333
TB/JF",2/18/2023 9:00,2/18/2023 4:00,‐05 EST,2/18/2023 11:21,"CHARLESTON,WV",2.81412001,CRW,38.3498195,‐81.6326234,665934,0,0,mi,85 SW,
UFO‐UAP ACTIVITY,NKS128 UFO‐UAP ACTIVITY 02‐18‐2023,"PRELIM INFO FROM FAA OPS: CHARLESTON, WV/UFO‐ UAP ACTIVITY/0400E/INDIANAPOLIS ARTCC ADVISED SPIRIT 128, A20N, LAX ‐ BWI, REPORTED AN UNIDENTIFIED AERIAL PHENOMENON AT FL350 WITH BLINKING LIGHTS OFF OF THEIR LEFT SIDE WHILE EAST BOUND AT FL370 50 W CHARLESTON VOR (HVQ). NO EVASIVE ACTION TAKEN. LEO NOTIFCATION NOT REPORTED. WOC 7‐3333 JF/TB",2/18/2023 9:00,2/18/2023 4:00,‐05 EST,2/18/2023 11:20,"CHARLESTON,WV",1.58756255,HTS,38.3462065,‐82.55312885,665936,270,50,mi,"50 W,50 W",
UFO‐UAP ACTIVITY,N926TT UFO‐UAP ACTIVITY 02‐18‐2023,"PRELIM INFO FROM FAA OPS: ATLANTIC OCEAN/UFO‐ UAP ACTIVITY/0438E/JACKSONVILLE ARTCC ADVISED N926TT, GULFSTREAM GLF4, VNY ‐ VIEUX FORT, ST LUCIA (TLPL), REPORTED AN UNIDENTIFIED AERIAL PHENOMENON WITH WHITE LIGHTS FROM THEIR 12 O'CLOCK POSITION WHILE SE BOUND AT FL410 30 S AMNDA FIX. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC 7‐3333 JF/TB",2/18/2023 9:30,2/18/2023 4:38,‐00 Local,2/18/2023 11:34,"ATLANTIC OCEAN,",258.081983,ACK,38.35,‐67,665937,180,30,mi,30 S,
UFO‐UAP ACTIVITY,RVF140 UFO‐UAP ACTIVITY 02‐20‐2023,"PRELIM INFO FROM FAA OPS: KENAI, AK/UFO‐UAP ACTIVITY/1855L/ANCHORAGE ARTCC ADVISED RAVN ALASKA 140, DE HAVILLAND DH8A, ANC ‐ ENA, REPORTED A UAP WHILE SW BOUND AT 6,000 FEET 52 NW ENA. THE UAP WAS A ROUND BLACK OBJECT THAT WAS STATIONARY AT APPROXIMATELY 16,000 FEET. NO EVASIVE ACTION TAKEN. ALASKA NORAD REGION
NOTIFIED. WOC 7‐3333 HM/JO",2/21/2023 3:59,2/20/2023 18:59,‐09 AKST,2/21/2023 4:24,"KENAI,AK (ENA)",26.7994315,5AK0,61.0709297,‐152.3968424,666357,312,52,mi,52 NW,"6,000
FEET,16,0 00 FEET"
