,Pip Angle
294,-38.90671722
295,-38.84404362
296,-38.77882149
297,-38.72942285
298,-38.68173073
299,-38.63627136
300,-38.57501078
301,-38.50903488
302,-38.44135724
303,-38.37778978
304,-38.31386727
305,-38.2639615
306,-38.21670231
307,-38.17174056
308,-38.11827409
309,-38.05207753
310,-37.98291573
311,-37.93002337
312,-37.88417833
313,-37.85337649
314,-37.79781576
315,-37.73371397
316,-37.66890218
317,-37.60182339
318,-37.53341933
319,-37.48749721
320,-37.44926595
321,-37.38800216
322,-37.32512238
323,-37.2616454
324,-37.19853007
325,-37.15762847
326,-37.12022613
327,-37.05657418
328,-36.99305585
329,-36.92993391
330,-36.86594773
331,-36.8000315
332,-36.74828673
333,-36.69709792
334,-36.64533814
335,-36.58264427
336,-36.5191756
337,-36.45322858
338,-36.40352744
339,-36.3532873
340,-36.30227499
341,-36.24631367
342,-36.19159623
343,-36.1393319
344,-36.07610355
345,-36.01348795
346,-35.96100126
347,-35.90965714
348,-35.85146218
349,-35.79806777
350,-35.74008909
351,-35.68435221
352,-35.63419765
353,-35.59065999
354,-35.54019089
355,-35.48121262
356,-35.42538774
357,-35.3695927
358,-35.31413148
359,-35.27254482
360,-35.23423378
361,-35.18382076
362,-35.12058174
363,-35.05789354
364,-34.99633148
365,-34.94799778
366,-34.91035374
367,-34.86337284
368,-34.81226687
369,-34.75734543
370,-34.69942015
371,-34.64432492
372,-34.60531209
373,-34.57994225
374,-34.53678277
375,-34.48709682
376,-34.44365053
377,-34.40610888
378,-34.36509436
379,-34.32738061
380,-34.29070257
381,-34.25465431
382,-34.21952419
383,-34.18537498
384,-34.15151577
385,-34.13512981
386,-34.12277586
387,-34.09102039
388,-34.00103574
389,-33.91996936
390,-33.84254305
391,-33.76729176
392,-33.68956057
393,-33.6140851
394,-33.53965363
395,-33.46174093
396,-33.35640847
397,-33.25290878
398,-33.16410725
399,-33.13651407
400,-33.10584084
401,-33.07298583
402,-33.03833228
403,-32.98815025
404,-32.93592202
405,-32.87889874
406,-32.81995077
407,-32.7870251
408,-32.75174892
409,-32.69746984
410,-32.64236816
411,-32.59224247
412,-32.54190508
413,-32.48169723
414,-32.44016817
415,-32.39741317
416,-32.33976149
417,-32.28260368
418,-32.23273466
419,-32.18042328
420,-32.14441425
421,-32.09757398
422,-32.03587142
423,-31.96978224
424,-31.91723112
425,-31.865036
426,-31.81971874
427,-31.78661297
428,-31.73468821
429,-31.66290048
430,-31.60717669
431,-31.54257208
432,-31.48825429
433,-31.44516714
434,-31.39170201
435,-31.33293583
436,-31.26683146
437,-31.18770351
438,-31.12063342
439,-31.07172318
440,-31.02285241
441,-30.96128861
442,-30.91100643
443,-30.86406251
444,-30.81457592
445,-30.77267117
446,-30.72844616
447,-30.69292732
448,-30.66270158
449,-30.62726792
450,-30.59682882
451,-30.56470868
452,-30.52753981
453,-30.47874863
454,-30.42710607
455,-30.38186114
456,-30.34368874
457,-30.29718434
458,-30.24556972
459,-30.19619764
460,-30.14637217
461,-30.08748461
462,-30.03845545
463,-29.99269058
464,-29.94048903
465,-29.88924063
466,-29.83766899
467,-29.78650871
468,-29.74744094
469,-29.70842854
470,-29.64315357
471,-29.57792904
472,-29.52056809
473,-29.47062728
474,-29.42382568
475,-29.38866062
476,-29.34102618
477,-29.29396005
478,-29.23527877
479,-29.18345339
480,-29.13491665
481,-29.104838
482,-29.06342451
483,-29.01637661
484,-28.97093915
485,-28.92567704
486,-28.88569961
487,-28.84490653
488,-28.78857742
489,-28.74469882
490,-28.69746806
491,-28.64848959
492,-28.59102096
493,-28.5361276
494,-28.4880598
495,-28.43557051
496,-28.37677522
497,-28.31556129
498,-28.264496
499,-28.22007181
500,-28.16435333
501,-28.10774686
502,-28.05484272
503,-28.01540943
504,-27.98905877
505,-27.94690434
506,-27.89616813
507,-27.83908
508,-27.78621449
509,-27.73844143
510,-27.6927283
511,-27.64011619
512,-27.58600866
513,-27.53114736
514,-27.4798545
515,-27.41947275
516,-27.37050617
517,-27.31539545
518,-27.26884435
519,-27.22431561
520,-27.18058175
521,-27.13945489
522,-27.10888387
523,-27.06363766
524,-27.02016884
525,-26.96637288
526,-26.91114004
527,-26.86276466
528,-26.82416095
529,-26.76909713
530,-26.71235852
531,-26.65351516
532,-26.59668366
533,-26.54580108
534,-26.4935111
535,-26.4383859
536,-26.3861741
537,-26.33475426
538,-26.27921758
539,-26.23348932
540,-26.18611972
541,-26.14495705
542,-26.10507268
543,-26.04608884
544,-25.97273119
545,-25.9052908
546,-25.84339053
547,-25.76438919
548,-25.70294888
549,-25.64549812
550,-25.56896536
551,-25.49112035
552,-25.40520703
553,-25.30967617
554,-25.22289844
555,-25.15434788
556,-25.09567485
557,-25.02944672
558,-24.96642826
559,-24.89012515
560,-24.80505361
561,-24.70874594
562,-24.64301047
563,-24.56659931
564,-24.49490599
565,-24.42405947
566,-24.34883447
567,-24.25525526
568,-24.15349107
569,-24.06922922
570,-23.98880391
571,-23.89303218
572,-23.82364892
573,-23.74282043
574,-23.67437263
575,-23.59493613
576,-23.52002864
577,-23.43617837
578,-23.37363304
579,-23.3239014
580,-23.25281319
581,-23.18727892
582,-23.13079607
583,-23.07373149
584,-23.02238093
585,-22.95086259
586,-22.88029554
587,-22.81375247
588,-22.76269158
589,-22.70998218
590,-22.6336409
591,-22.57061675
592,-22.50914034
593,-22.46922072
594,-22.41867916
595,-22.33412505
596,-22.26727917
597,-22.21970423
598,-22.15943823
599,-22.10381448
600,-22.02970776
601,-21.97281056
602,-21.92165373
603,-21.86761398
604,-21.80099348
605,-21.73264721
606,-21.68993175
607,-21.63361973
608,-21.57554807
609,-21.52448831
610,-21.4657309
611,-21.41721942
612,-21.37325765
613,-21.32270796
614,-21.27164221
615,-21.20634522
616,-21.13299149
617,-21.0658973
618,-21.0125063
619,-20.9549705
620,-20.89984603
621,-20.82614339
622,-20.76011601
623,-20.70492651
624,-20.65694783
625,-20.5856661
626,-20.52766273
627,-20.47609623
628,-20.42267126
629,-20.3695339
630,-20.30780272
631,-20.24248072
632,-20.20732353
633,-20.17050983
634,-20.10997684
635,-20.04378118
636,-19.98934146
637,-19.93909877
638,-19.90085137
639,-19.8520395
640,-19.79200015
641,-19.74209059
642,-19.69913576
643,-19.63105239
644,-19.55613775
645,-19.4928987
646,-19.43366649
647,-19.37766448
648,-19.30486414
649,-19.23730373
650,-19.17839782
651,-19.13184559
652,-19.0823682
653,-19.02109624
654,-18.96476401
655,-18.91845393
656,-18.87433707
657,-18.82109276
658,-18.76198626
659,-18.72159271
660,-18.67796091
661,-18.62836246
662,-18.5690255
663,-18.50785233
664,-18.46223778
665,-18.41079051
666,-18.34661475
667,-18.28019015
668,-18.223961
669,-18.17858407
670,-18.12646265
671,-18.05472764
672,-17.99276272
673,-17.94152598
674,-17.89344013
675,-17.83659125
676,-17.77342138
677,-17.72198653
678,-17.67569411
679,-17.62489315
680,-17.56010669
681,-17.49766245
682,-17.46427043
683,-17.42636233
684,-17.37801562
685,-17.31084172
686,-17.250862
687,-17.20859427
688,-17.15814075
689,-17.08732191
690,-17.02653266
691,-16.98143951
692,-16.93743824
693,-16.88092165
694,-16.80780769
695,-16.74508624
696,-16.71168363
697,-16.66211094
698,-16.60437291
699,-16.55371257
700,-16.51978472
701,-16.48414254
702,-16.4336386
703,-16.37023596
704,-16.31145354
705,-16.27506053
706,-16.22698249
707,-16.16084179
708,-16.11022521
709,-16.06529958
710,-16.02016603
711,-15.96231179
712,-15.8962178
713,-15.84225777
714,-15.80314632
715,-15.76331642
716,-15.7159372
717,-15.66188578
718,-15.61629482
719,-15.57020147
720,-15.525976
721,-15.466783
722,-15.41106609
723,-15.36318932
724,-15.30958566
725,-15.24512605
726,-15.17742025
727,-15.11328236
728,-15.06655111
729,-15.01628688
730,-14.94997063
731,-14.88496203
732,-14.83547702
733,-14.78851138
734,-14.72681146
735,-14.67964145
736,-14.63168692
737,-14.57915626
738,-14.52043361
739,-14.46125603
740,-14.39416661
741,-14.35360242
742,-14.30028211
743,-14.2401122
744,-14.18890517
745,-14.14844547
746,-14.07789825
747,-14.01786622
748,-13.96373042
749,-13.91754228
750,-13.86000661
751,-13.79960107
752,-13.73185447
753,-13.67870984
754,-13.62731476
755,-13.56096235
756,-13.49767844
757,-13.45524543
758,-13.4059126
759,-13.34424757
760,-13.28541106
761,-13.23301227
762,-13.18846952
763,-13.12765985
764,-13.06204724
765,-13.00205106
766,-12.95150767
767,-12.88432087
768,-12.81459667
769,-12.75018138
770,-12.69486837
771,-12.62003402
772,-12.55023461
773,-12.48018832
774,-12.42250379
775,-12.35805563
776,-12.29528375
777,-12.23489462
778,-12.18399606
779,-12.12357088
780,-12.06458453
781,-12.00637747
782,-11.94428798
783,-11.88630923
784,-11.83396379
785,-11.76991121
786,-11.70127782
787,-11.62492337
788,-11.55592146
789,-11.49697986
790,-11.44099571
791,-11.36503763
792,-11.30039976
793,-11.24619065
794,-11.17087757
795,-11.09613486
796,-11.03519301
797,-10.97223509
798,-10.90912994
799,-10.84277419
800,-10.77637461
801,-10.71143503
802,-10.64690847
803,-10.57452019
804,-10.51336739
805,-10.45934797
806,-10.39198613
807,-10.32319725
808,-10.27127576
809,-10.22424822
810,-10.16438109
811,-10.09945947
812,-10.04157005
813,-9.991280544
814,-9.926536843
815,-9.862399166
816,-9.809375345
817,-9.759343105
818,-9.70070341
819,-9.643928067
820,-9.585909683
821,-9.52505305
822,-9.453436811
823,-9.378018187
824,-9.321453737
825,-9.273637964
826,-9.211359521
827,-9.147710926
828,-9.091808405
829,-9.041668408
830,-8.988430835
831,-8.922453873
832,-8.865210931
833,-8.809888417
834,-8.749924214
835,-8.681694703
836,-8.623009187
837,-8.566955761
838,-8.48905242
839,-8.420411143
840,-8.349739514
841,-8.274458969
842,-8.200094844
843,-8.126918355
844,-8.06672471
845,-8.011665247
846,-7.945550284
847,-7.868466841
848,-7.798544219
849,-7.741463986
850,-7.664199411
851,-7.591899234
852,-7.526367661
853,-7.474149936
854,-7.416038839
855,-7.354546427
856,-7.294698514
857,-7.235238149
858,-7.17237049
859,-7.113039074
860,-7.051355582
861,-6.991091554
862,-6.927504792
863,-6.861990869
864,-6.795965091
865,-6.72504307
866,-6.653231387
867,-6.584841326
868,-6.516390326
869,-6.448549794
870,-6.379952461
871,-6.322640179
872,-6.271667998
873,-6.20585538
874,-6.142333512
875,-6.075914136
876,-6.012811565
877,-5.94780555
878,-5.879938536
879,-5.821669292
880,-5.759662482
881,-5.688630608
882,-5.627682464
883,-5.559775303
884,-5.494264609
885,-5.429824678
886,-5.369127556
887,-5.306472513
888,-5.240325665
889,-5.175768103
890,-5.100043625
891,-5.030068949
892,-4.966684415
893,-4.892712651
894,-4.827846145
895,-4.761426235
896,-4.687085969
897,-4.61632882
898,-4.537648588
899,-4.472179244
900,-4.402679465
901,-4.339636947
902,-4.269016923
903,-4.200826427
904,-4.126985532
905,-4.039483916
906,-3.961382615
907,-3.896155639
908,-3.826418018
909,-3.762284631
910,-3.695825569
911,-3.632454207
912,-3.564641242
913,-3.504584857
914,-3.445955866
915,-3.393744774
916,-3.357617893
917,-3.309397062
918,-3.251123821
919,-3.194943433
920,-3.149493948
921,-3.084105124
922,-3.017966386
923,-2.963494768
924,-2.915162106
925,-2.860594444
926,-2.799223928
927,-2.732730611
928,-2.680876538
929,-2.624517765
930,-2.561883637
931,-2.49757166
932,-2.445074811
933,-2.387014952
934,-2.323192708
935,-2.255410118
936,-2.187627527
937,-2.119844937
938,-2.052062347
939,-1.984279756
940,-1.916497166
941,-1.848714575
942,-1.780931985
943,-1.713149395
944,-1.645366804
945,-1.577584214
946,-1.509801624
947,-1.442019033
948,-1.374236443
949,-1.306453852
950,-1.238671262
951,-1.170888672
952,-1.103106081
953,-1.035323491
954,-0.967540901
955,-0.89975831
956,-0.83197572
957,-0.764193129
958,-0.696410539
959,-0.628627949
960,-0.560845358
961,-0.493062768
962,-0.426215867
963,-0.360304656
964,-0.295329134
965,-0.231289302
966,-0.16818516
967,-0.106016707
968,-0.044783944
969,0.01551313
970,0.074874514
971,0.133300208
972,0.190790213
973,0.248280218
974,0.305770223
975,0.363260227
976,0.420750232
977,0.478240237
978,0.535730242
979,0.593220247
980,0.650710251
981,0.708200256
982,0.765690261
983,0.823180266
984,0.879712521
985,0.935287025
986,0.98990378
987,1.043562784
988,1.096264039
989,1.148007543
990,1.198793298
991,1.248621302
992,1.297491556
993,1.34540406
994,1.392358814
995,1.439313568
996,1.486268322
997,1.533223076
998,1.58017783
999,1.627132585
1000,1.674087339
1001,1.721042093
1002,1.767996847
1003,1.814951601
1004,1.861906355
1005,1.908861109
1006,1.955815863
1007,2.002770617
1008,2.049725371
1009,2.096680125
1010,2.143634879
1011,2.190589633
1012,2.237544387
1013,2.284499141
1014,2.331453895
1015,2.378408649
1016,2.425363403
1017,2.472318157
1018,2.519272911
1019,2.566227665
1020,2.613182419
1021,2.660137174
1022,2.707091928
1023,2.754046682
1024,2.801001436
1025,2.84795619
1026,2.894910944
1027,2.918388321
1028,2.941865698
1029,2.965343075
1030,2.988820452
